rf_features,rf_importance,lgb_features,lgb_importance
behavior_count,63.45238683,behavior_count,1266
cross_behavior,32.30168351,unique_behavior,779
unique_behavior,32.15789538,current_MinRepay_mean,747
current_balance_sum,27.35480264,current_balance_mean,682
current_MinRepay_sum,27.20109922,pre_payBalance_max,629
current_MinRepay_mean,26.4646265,pre_payBalance_meam,628
current_balance_mean,25.64814972,previous_repayment_max,543
pre_payBalance_meam,25.05566996,previous_repayment_std,533
browse_behavior_mode,23.94577827,creditCardQuota_mean,529
sex,23.31456876,cash_Advance_Limit_mean,509
household_type,23.22677525,current_bills_std,495
pre_payBalance_max,22.59992233,previous_bills_max,471
previous_repayment_sum,21.11739199,previous_repayment_median,470
marriage,20.03203809,current_bills_max,463
current_bills_sum,20.01772174,previous_bills_std,454
previous_bills_sum,20.01589148,current_bills_median,447
creditCardQuota_mean,19.98803722,previous_bills_median,405
previous_repayment_max,19.36663617,previous_repayment_sum,384
previous_repayment_std,18.99313455,browse_behavior_mode,384
current_bills_max,18.76128314,current_balance_sum,379
unique_subbehavior,18.63607773,creditCardQuota_max,371
previous_bills_max,18.42833665,current_bills_sum,360
previous_bills_std,18.36941141,consume_times_sum,355
current_bills_std,17.94364914,previous_bills_sum,334
previous_repayment_median,17.47548389,cash_Advance_Limit_max,322
education,17.3995586,current_MinRepay_sum,312
previous_bills_median,17.08560136,previous_bills_min,307
current_bills_median,16.83043571,previous_bills_count,297
cash_Advance_Limit_mean,16.80727511,revolving_interest_max,284
creditCardQuota_max,16.80077564,revolving_interest_sum,270
previous_bills_count,16.10958985,expen_std,251
cash_Advance_Limit_max,14.24818699,per_income,250
occupation,14.16533529,current_bills_min,235
consume_times_sum,13.86433881,sex,227
previous_bills_min,12.53097484,revolving_interest_mean,225
creditCardQuota_min,11.32499494,consume_times_ptp,223
current_bills_min,10.98884131,education,196
cross_behavior_mode,10.49592633,creditCardQuota_min,195
consume_times_ptp,10.1465079,household_type,194
per_income,9.552413054,previous_repayment_min,182
per_expen,9.28094056,income_std,182
expen_std,9.098511684,per_expen,176
revolving_interest_sum,8.950160773,cross_behavior_mode,159
revolving_interest_max,8.936823988,bank_num,158
revolving_interest_mean,8.930581558,income_median,156
income_std,8.740647624,occupation,149
expen_sum,8.421655439,marriage,143
expen_count,8.341149574,expen_median,140
non_wages_sum,8.079869625,available_money_max,137
income_sum,8.078992736,expen_count,137
income_median,7.992776748,adjust_money_sum,131
income_count,7.875870701,expen_sum,124
expen_median,7.542361965,consume_times_median,121
bank_num,7.508711076,unique_subbehavior,117
non_wages_median,7.445387912,available_money_std,114
previous_repayment_min,7.087544089,adjust_money_mean,106
consume_times_median,6.839063092,income_count,100
available_money_std,4.727128469,non_wages_median,95
adjust_money_mean,4.302680027,adjust_money_min,94
adjust_money_sum,4.263890521,non_wages_sum,87
available_money_sum,4.104339263,available_money_sum,79
available_money_max,4.040000459,income_sum,71
adjust_money_min,3.055118592,adjust_money_max,38
adjust_money_max,2.038924106,available_money_min,37
available_money_min,1.683444612,revolving_interest_min,20
behavior_count_nan,1.649787673,available_money_median,20
unique_behavior_nan,1.642985802,cross_behavior_nan,17
browse_behavior_mode_nan,1.641926751,expen_count_nan,2
unique_subbehavior_nan,1.640699209,income_std_nan,2
cross_behavior_mode_nan,1.634939795,cross_behavior,1
browse_subbehavior_mode_nan,1.633285673,pre_payBalance_meam_nan,0
cross_behavior_nan,1.62476811,current_bills_sum_nan,0
revolving_interest_min,1.551888996,current_bills_min_nan,0
available_money_median,1.206813554,current_bills_max_nan,0
previous_repayment_std_nan,0.431403668,current_bills_std_nan,0
previous_bills_std_nan,0.419028158,current_bills_median_nan,0
available_money_std_nan,0.416252997,consume_times_ptp_nan,0
current_bills_std_nan,0.414236468,adjust_money_sum_nan,0
expen_median_nan,0.398508367,consume_times_sum_nan,0
expen_std_nan,0.391245407,consume_times_median_nan,0
per_expen_nan,0.386821339,current_MinRepay_sum_nan,0
expen_sum_nan,0.383254698,current_MinRepay_mean_nan,0
expen_count_nan,0.369842945,current_balance_sum_nan,0
income_std_nan,0.36800032,current_balance_mean_nan,0
non_wages_sum_nan,0.365914227,adjust_money_mean_nan,0
income_sum_nan,0.362918269,adjust_money_min_nan,0
income_median_nan,0.352759177,adjust_money_max_nan,0
non_wages_median_nan,0.351312871,revolving_interest_mean_nan,0
income_count_nan,0.349641663,revolving_interest_sum_nan,0
per_income_nan,0.34294229,revolving_interest_max_nan,0
isRepay,0.336120045,revolving_interest_min_nan,0
current_balance_mean_nan,0.049241824,available_money_sum_nan,0
previous_repayment_sum_nan,0.049176415,available_money_median_nan,0
cash_Advance_Limit_mean_nan,0.047308267,available_money_std_nan,0
previous_bills_sum_nan,0.045910257,available_money_max_nan,0
consume_times_ptp_nan,0.045739509,creditCardQuota_max_nan,0
available_money_min_nan,0.045722338,available_money_min_nan,0
adjust_money_mean_nan,0.045112348,cash_Advance_Limit_mean_nan,0
bank_num_nan,0.045040671,cash_Advance_Limit_max_nan,0
previous_bills_max_nan,0.044780131,creditCardQuota_min_nan,0
pre_payBalance_max_nan,0.044629563,isRepay,0
current_bills_max_nan,0.044444002,creditCardQuota_mean_nan,0
current_balance_sum_nan,0.044036451,expen_median_nan,0
current_bills_median_nan,0.043911093,browse_subbehavior_mode,0
previous_bills_count_nan,0.043772872,income_count_nan,0
available_money_median_nan,0.04357259,previous_bills_count_nan,0
creditCardQuota_max_nan,0.043057145,bank_num_nan,0
revolving_interest_sum_nan,0.042998555,unique_subbehavior_nan,0
previous_bills_median_nan,0.042993557,unique_behavior_nan,0
current_bills_min_nan,0.042990504,behavior_count_nan,0
current_MinRepay_sum_nan,0.042740921,browse_behavior_mode_nan,0
creditCardQuota_mean_nan,0.04222291,browse_subbehavior_mode_nan,0
available_money_max_nan,0.042170103,cross_behavior_mode_nan,0
revolving_interest_max_nan,0.042147456,income_sum_nan,0
adjust_money_min_nan,0.0419462,income_median_nan,0
creditCardQuota_min_nan,0.041918762,expen_sum_nan,0
pre_payBalance_meam_nan,0.041827667,expen_std_nan,0
consume_times_sum_nan,0.041474337,previous_repayment_min_nan,0
previous_repayment_min_nan,0.04134208,non_wages_sum_nan,0
adjust_money_sum_nan,0.040740664,non_wages_median_nan,0
current_bills_sum_nan,0.040664393,per_income_nan,0
revolving_interest_min_nan,0.040565039,per_expen_nan,0
previous_repayment_median_nan,0.040454001,previous_bills_sum_nan,0
current_MinRepay_mean_nan,0.040257361,previous_bills_median_nan,0
available_money_sum_nan,0.040145724,previous_bills_std_nan,0
revolving_interest_mean_nan,0.039967937,previous_bills_max_nan,0
adjust_money_max_nan,0.03994921,previous_bills_min_nan,0
previous_bills_min_nan,0.039945916,previous_repayment_sum_nan,0
previous_repayment_max_nan,0.039255767,previous_repayment_median_nan,0
consume_times_median_nan,0.038653518,previous_repayment_std_nan,0
cash_Advance_Limit_max_nan,0.038074246,previous_repayment_max_nan,0
browse_subbehavior_mode,0.036016754,pre_payBalance_max_nan,0
